source_id,source_type,source_url,date,entity_a,entity_b,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence
297,PUBMED,https://pubmed.ncbi.nlm.nih.gov/25785969/,Mar-15,PCV13,CI,ACQUIRED,"In the modified intention-to-treat analysis, similar efficacy was observed (vaccine efficacy, 37.7%, 41.1%, and 75.8%, respectively), and community-acquired pneumonia occurred in 747 persons in the PCV13 group and 787 persons in placebo group (vaccine efficacy, 5.1%; 95% CI, -5.1 to 14.2).",acquired,heuristic_sentence_trigger,2
297,PUBMED,https://pubmed.ncbi.nlm.nih.gov/25785969/,Mar-15,PCV13,CI,ACQUIRED,"In the per-protocol analysis of first episodes of infections due to vaccine-type strains, community-acquired pneumonia occurred in 49 persons in the PCV13 group and 90 persons in the placebo group (vaccine efficacy, 45.6%; 95.2% confidence interval [CI], 21.8 to 62.5), nonbacteremic and noninvasive community-acquired pneumonia occurred in 33 persons in the PCV13 group and 60 persons in the placebo group (vaccine efficacy, 45.0%; 95.2% CI, 14.2 to 65.3), and invasive pneumococcal disease occurred in 7 persons in the PCV13 group and 28 persons in the placebo group (vaccine efficacy, 75.0%; 95% CI, 41.4 to 90.8).",acquired,heuristic_sentence_trigger,2
573,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000013/txg-20241231.htm,Feb-25,National Institutes of Health,NIH,ACQUIRED,"These fluctuations may occur due to a variety of factors, many of which are outside of our control, including, but not limited to: &#8226; delays in, changes in terms of, or reduction of governmental funding of life sciences research, generally, or of research projects which could utilize our solutions, specifically, or other changes that impact budgets, budget cycles or seasonal or other spending patterns of our customers, including potential freezes of, reductions in or reduced availability of National Institutes of Health (NIH) or other funding for our customers; &#8226; modifications to our commercial processes and organization, including changes we made to our commercial processes and organization to increase effectiveness; &#8226; the timing and magnitude of our price changes, including the effects of potentially lowering prices for certain of our products in 2025; &#8226; the effects of competition, including competition with both new and existing companies offering products that compete or intend to compete with our products and may offer performance, price or other advantages as well as researchers developing their own solutions; &#8226; enhanced trade tariffs, import restrictions, export restrictions, Chinese regulations or other trade barriers, including retaliatory measures taken by trade partners; &#8226; the effects of inflation on us or our customers, manufacturers and suppliers, including increases in the cost of labor and materials, including as a result of tariffs imposed by the United States which are currently, or in the future, under consideration, proposed or enacted; &#8226; excess capacity expenses and inventory write-downs; &#8226; fluctuations in demand for our products, which may vary significantly, our ability to accurately forecast demand, and our ability to increase penetration with our existing customers and to expand to new customers; &#8226; changes in general market conditions and other factors, including factors unrelated to our operating performance or the performance of our competitors; &#8226; changes in volume and product mix, particularly from products with lower gross margins than other products that we sell, or changes in costs related to our instruments and consumables, including products which incur royalty payment obligations at higher rates than other products we sell; ##TABLE_START ##TABLE_END 14 &#8226; the success of our recently introduced and recently announced products and new versions of existing products, and our ability to generate revenue for such products, and the introduction of new products or product enhancements by us or others in our industry including the timing of such introductions; &#8226; disruptions in customers&#8217; on-going experiments or interruptions in the ability of our customers to complete research projects; &#8226; investment decisions we make with respect to the allocation of our resources, including regarding product development or to support our commercial organization; &#8226; risks related to our business and demand for our products in China and elsewhere in the Asia-Pacific region, including competition or other factors; &#8226; differences in purchasing patterns across our customer base or across our two portfolios and variances in consumables spending for each of our portfolios; &#8226; higher than anticipated warranty costs; &#8226; the timing and amount of expenditures that we may incur to acquire, develop or commercialize additional products and technologies or for other purposes; &#8226; the timing and amount of expenditures (including success fees) related to litigation, as well as the outcomes of and related rulings in the litigation and administrative proceedings which may vary substantially from quarter to quarter; &#8226; the outcome of any current or future litigation or governmental investigations involving us or other third parties; &#8226; our ability and the ability of our partners to successfully manufacture our instruments and consumables in necessary quantities at necessary quality, including due to the impacts of supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; shortages, delays, production problems, distribution and quality issues with the materials we purchase for manufacturing, which could impact our ability to manufacture and ship our instruments, consumables and related components; &#8226; our inability or the inability of our customers to source our products or necessary equipment, components and materials used in our products or in conjunction with our products, including shortages of consumables or other components and materials used in gene sequencing (which occurred in 2024), because of issues with suppliers, including supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; our dependence and the dependence of our customers on single source and sole source suppliers for some of the equipment, components and materials used in our products or in conjunction with our products; &#8226; changes in customer payment timing trends including potential increases in the days sales outstanding (DSO); &#8226; expenses related to our facilities and real estate; &#8226; our ability to successfully integrate personnel, technology and other assets that we acquire into our company; &#8226; difficulties encountered by our commercial carriers in delivering our instruments or consumables, whether as a result of external factors such as weather, customs or import processes, transportation bottlenecks, port lockdowns or slowdowns or fuel shortages or internal issues such as labor disputes or difficulties hiring and retaining adequate staffing; &#8226; reductions in or other difficulties relat",acquire,heuristic_sentence_trigger,4
573,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000013/txg-20241231.htm,Feb-25,National Institutes of Health,14 &#,ACQUIRED,"These fluctuations may occur due to a variety of factors, many of which are outside of our control, including, but not limited to: &#8226; delays in, changes in terms of, or reduction of governmental funding of life sciences research, generally, or of research projects which could utilize our solutions, specifically, or other changes that impact budgets, budget cycles or seasonal or other spending patterns of our customers, including potential freezes of, reductions in or reduced availability of National Institutes of Health (NIH) or other funding for our customers; &#8226; modifications to our commercial processes and organization, including changes we made to our commercial processes and organization to increase effectiveness; &#8226; the timing and magnitude of our price changes, including the effects of potentially lowering prices for certain of our products in 2025; &#8226; the effects of competition, including competition with both new and existing companies offering products that compete or intend to compete with our products and may offer performance, price or other advantages as well as researchers developing their own solutions; &#8226; enhanced trade tariffs, import restrictions, export restrictions, Chinese regulations or other trade barriers, including retaliatory measures taken by trade partners; &#8226; the effects of inflation on us or our customers, manufacturers and suppliers, including increases in the cost of labor and materials, including as a result of tariffs imposed by the United States which are currently, or in the future, under consideration, proposed or enacted; &#8226; excess capacity expenses and inventory write-downs; &#8226; fluctuations in demand for our products, which may vary significantly, our ability to accurately forecast demand, and our ability to increase penetration with our existing customers and to expand to new customers; &#8226; changes in general market conditions and other factors, including factors unrelated to our operating performance or the performance of our competitors; &#8226; changes in volume and product mix, particularly from products with lower gross margins than other products that we sell, or changes in costs related to our instruments and consumables, including products which incur royalty payment obligations at higher rates than other products we sell; ##TABLE_START ##TABLE_END 14 &#8226; the success of our recently introduced and recently announced products and new versions of existing products, and our ability to generate revenue for such products, and the introduction of new products or product enhancements by us or others in our industry including the timing of such introductions; &#8226; disruptions in customers&#8217; on-going experiments or interruptions in the ability of our customers to complete research projects; &#8226; investment decisions we make with respect to the allocation of our resources, including regarding product development or to support our commercial organization; &#8226; risks related to our business and demand for our products in China and elsewhere in the Asia-Pacific region, including competition or other factors; &#8226; differences in purchasing patterns across our customer base or across our two portfolios and variances in consumables spending for each of our portfolios; &#8226; higher than anticipated warranty costs; &#8226; the timing and amount of expenditures that we may incur to acquire, develop or commercialize additional products and technologies or for other purposes; &#8226; the timing and amount of expenditures (including success fees) related to litigation, as well as the outcomes of and related rulings in the litigation and administrative proceedings which may vary substantially from quarter to quarter; &#8226; the outcome of any current or future litigation or governmental investigations involving us or other third parties; &#8226; our ability and the ability of our partners to successfully manufacture our instruments and consumables in necessary quantities at necessary quality, including due to the impacts of supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; shortages, delays, production problems, distribution and quality issues with the materials we purchase for manufacturing, which could impact our ability to manufacture and ship our instruments, consumables and related components; &#8226; our inability or the inability of our customers to source our products or necessary equipment, components and materials used in our products or in conjunction with our products, including shortages of consumables or other components and materials used in gene sequencing (which occurred in 2024), because of issues with suppliers, including supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; our dependence and the dependence of our customers on single source and sole source suppliers for some of the equipment, components and materials used in our products or in conjunction with our products; &#8226; changes in customer payment timing trends including potential increases in the days sales outstanding (DSO); &#8226; expenses related to our facilities and real estate; &#8226; our ability to successfully integrate personnel, technology and other assets that we acquire into our company; &#8226; difficulties encountered by our commercial carriers in delivering our instruments or consumables, whether as a result of external factors such as weather, customs or import processes, transportation bottlenecks, port lockdowns or slowdowns or fuel shortages or internal issues such as labor disputes or difficulties hiring and retaining adequate staffing; &#8226; reductions in or other difficulties relat",acquire,heuristic_sentence_trigger,4
573,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000013/txg-20241231.htm,Feb-25,National Institutes of Health,DSO,ACQUIRED,"These fluctuations may occur due to a variety of factors, many of which are outside of our control, including, but not limited to: &#8226; delays in, changes in terms of, or reduction of governmental funding of life sciences research, generally, or of research projects which could utilize our solutions, specifically, or other changes that impact budgets, budget cycles or seasonal or other spending patterns of our customers, including potential freezes of, reductions in or reduced availability of National Institutes of Health (NIH) or other funding for our customers; &#8226; modifications to our commercial processes and organization, including changes we made to our commercial processes and organization to increase effectiveness; &#8226; the timing and magnitude of our price changes, including the effects of potentially lowering prices for certain of our products in 2025; &#8226; the effects of competition, including competition with both new and existing companies offering products that compete or intend to compete with our products and may offer performance, price or other advantages as well as researchers developing their own solutions; &#8226; enhanced trade tariffs, import restrictions, export restrictions, Chinese regulations or other trade barriers, including retaliatory measures taken by trade partners; &#8226; the effects of inflation on us or our customers, manufacturers and suppliers, including increases in the cost of labor and materials, including as a result of tariffs imposed by the United States which are currently, or in the future, under consideration, proposed or enacted; &#8226; excess capacity expenses and inventory write-downs; &#8226; fluctuations in demand for our products, which may vary significantly, our ability to accurately forecast demand, and our ability to increase penetration with our existing customers and to expand to new customers; &#8226; changes in general market conditions and other factors, including factors unrelated to our operating performance or the performance of our competitors; &#8226; changes in volume and product mix, particularly from products with lower gross margins than other products that we sell, or changes in costs related to our instruments and consumables, including products which incur royalty payment obligations at higher rates than other products we sell; ##TABLE_START ##TABLE_END 14 &#8226; the success of our recently introduced and recently announced products and new versions of existing products, and our ability to generate revenue for such products, and the introduction of new products or product enhancements by us or others in our industry including the timing of such introductions; &#8226; disruptions in customers&#8217; on-going experiments or interruptions in the ability of our customers to complete research projects; &#8226; investment decisions we make with respect to the allocation of our resources, including regarding product development or to support our commercial organization; &#8226; risks related to our business and demand for our products in China and elsewhere in the Asia-Pacific region, including competition or other factors; &#8226; differences in purchasing patterns across our customer base or across our two portfolios and variances in consumables spending for each of our portfolios; &#8226; higher than anticipated warranty costs; &#8226; the timing and amount of expenditures that we may incur to acquire, develop or commercialize additional products and technologies or for other purposes; &#8226; the timing and amount of expenditures (including success fees) related to litigation, as well as the outcomes of and related rulings in the litigation and administrative proceedings which may vary substantially from quarter to quarter; &#8226; the outcome of any current or future litigation or governmental investigations involving us or other third parties; &#8226; our ability and the ability of our partners to successfully manufacture our instruments and consumables in necessary quantities at necessary quality, including due to the impacts of supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; shortages, delays, production problems, distribution and quality issues with the materials we purchase for manufacturing, which could impact our ability to manufacture and ship our instruments, consumables and related components; &#8226; our inability or the inability of our customers to source our products or necessary equipment, components and materials used in our products or in conjunction with our products, including shortages of consumables or other components and materials used in gene sequencing (which occurred in 2024), because of issues with suppliers, including supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; our dependence and the dependence of our customers on single source and sole source suppliers for some of the equipment, components and materials used in our products or in conjunction with our products; &#8226; changes in customer payment timing trends including potential increases in the days sales outstanding (DSO); &#8226; expenses related to our facilities and real estate; &#8226; our ability to successfully integrate personnel, technology and other assets that we acquire into our company; &#8226; difficulties encountered by our commercial carriers in delivering our instruments or consumables, whether as a result of external factors such as weather, customs or import processes, transportation bottlenecks, port lockdowns or slowdowns or fuel shortages or internal issues such as labor disputes or difficulties hiring and retaining adequate staffing; &#8226; reductions in or other difficulties relat",acquire,heuristic_sentence_trigger,4
573,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000013/txg-20241231.htm,Feb-25,NIH,14 &#,ACQUIRED,"These fluctuations may occur due to a variety of factors, many of which are outside of our control, including, but not limited to: &#8226; delays in, changes in terms of, or reduction of governmental funding of life sciences research, generally, or of research projects which could utilize our solutions, specifically, or other changes that impact budgets, budget cycles or seasonal or other spending patterns of our customers, including potential freezes of, reductions in or reduced availability of National Institutes of Health (NIH) or other funding for our customers; &#8226; modifications to our commercial processes and organization, including changes we made to our commercial processes and organization to increase effectiveness; &#8226; the timing and magnitude of our price changes, including the effects of potentially lowering prices for certain of our products in 2025; &#8226; the effects of competition, including competition with both new and existing companies offering products that compete or intend to compete with our products and may offer performance, price or other advantages as well as researchers developing their own solutions; &#8226; enhanced trade tariffs, import restrictions, export restrictions, Chinese regulations or other trade barriers, including retaliatory measures taken by trade partners; &#8226; the effects of inflation on us or our customers, manufacturers and suppliers, including increases in the cost of labor and materials, including as a result of tariffs imposed by the United States which are currently, or in the future, under consideration, proposed or enacted; &#8226; excess capacity expenses and inventory write-downs; &#8226; fluctuations in demand for our products, which may vary significantly, our ability to accurately forecast demand, and our ability to increase penetration with our existing customers and to expand to new customers; &#8226; changes in general market conditions and other factors, including factors unrelated to our operating performance or the performance of our competitors; &#8226; changes in volume and product mix, particularly from products with lower gross margins than other products that we sell, or changes in costs related to our instruments and consumables, including products which incur royalty payment obligations at higher rates than other products we sell; ##TABLE_START ##TABLE_END 14 &#8226; the success of our recently introduced and recently announced products and new versions of existing products, and our ability to generate revenue for such products, and the introduction of new products or product enhancements by us or others in our industry including the timing of such introductions; &#8226; disruptions in customers&#8217; on-going experiments or interruptions in the ability of our customers to complete research projects; &#8226; investment decisions we make with respect to the allocation of our resources, including regarding product development or to support our commercial organization; &#8226; risks related to our business and demand for our products in China and elsewhere in the Asia-Pacific region, including competition or other factors; &#8226; differences in purchasing patterns across our customer base or across our two portfolios and variances in consumables spending for each of our portfolios; &#8226; higher than anticipated warranty costs; &#8226; the timing and amount of expenditures that we may incur to acquire, develop or commercialize additional products and technologies or for other purposes; &#8226; the timing and amount of expenditures (including success fees) related to litigation, as well as the outcomes of and related rulings in the litigation and administrative proceedings which may vary substantially from quarter to quarter; &#8226; the outcome of any current or future litigation or governmental investigations involving us or other third parties; &#8226; our ability and the ability of our partners to successfully manufacture our instruments and consumables in necessary quantities at necessary quality, including due to the impacts of supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; shortages, delays, production problems, distribution and quality issues with the materials we purchase for manufacturing, which could impact our ability to manufacture and ship our instruments, consumables and related components; &#8226; our inability or the inability of our customers to source our products or necessary equipment, components and materials used in our products or in conjunction with our products, including shortages of consumables or other components and materials used in gene sequencing (which occurred in 2024), because of issues with suppliers, including supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; our dependence and the dependence of our customers on single source and sole source suppliers for some of the equipment, components and materials used in our products or in conjunction with our products; &#8226; changes in customer payment timing trends including potential increases in the days sales outstanding (DSO); &#8226; expenses related to our facilities and real estate; &#8226; our ability to successfully integrate personnel, technology and other assets that we acquire into our company; &#8226; difficulties encountered by our commercial carriers in delivering our instruments or consumables, whether as a result of external factors such as weather, customs or import processes, transportation bottlenecks, port lockdowns or slowdowns or fuel shortages or internal issues such as labor disputes or difficulties hiring and retaining adequate staffing; &#8226; reductions in or other difficulties relat",acquire,heuristic_sentence_trigger,4
573,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000013/txg-20241231.htm,Feb-25,NIH,DSO,ACQUIRED,"These fluctuations may occur due to a variety of factors, many of which are outside of our control, including, but not limited to: &#8226; delays in, changes in terms of, or reduction of governmental funding of life sciences research, generally, or of research projects which could utilize our solutions, specifically, or other changes that impact budgets, budget cycles or seasonal or other spending patterns of our customers, including potential freezes of, reductions in or reduced availability of National Institutes of Health (NIH) or other funding for our customers; &#8226; modifications to our commercial processes and organization, including changes we made to our commercial processes and organization to increase effectiveness; &#8226; the timing and magnitude of our price changes, including the effects of potentially lowering prices for certain of our products in 2025; &#8226; the effects of competition, including competition with both new and existing companies offering products that compete or intend to compete with our products and may offer performance, price or other advantages as well as researchers developing their own solutions; &#8226; enhanced trade tariffs, import restrictions, export restrictions, Chinese regulations or other trade barriers, including retaliatory measures taken by trade partners; &#8226; the effects of inflation on us or our customers, manufacturers and suppliers, including increases in the cost of labor and materials, including as a result of tariffs imposed by the United States which are currently, or in the future, under consideration, proposed or enacted; &#8226; excess capacity expenses and inventory write-downs; &#8226; fluctuations in demand for our products, which may vary significantly, our ability to accurately forecast demand, and our ability to increase penetration with our existing customers and to expand to new customers; &#8226; changes in general market conditions and other factors, including factors unrelated to our operating performance or the performance of our competitors; &#8226; changes in volume and product mix, particularly from products with lower gross margins than other products that we sell, or changes in costs related to our instruments and consumables, including products which incur royalty payment obligations at higher rates than other products we sell; ##TABLE_START ##TABLE_END 14 &#8226; the success of our recently introduced and recently announced products and new versions of existing products, and our ability to generate revenue for such products, and the introduction of new products or product enhancements by us or others in our industry including the timing of such introductions; &#8226; disruptions in customers&#8217; on-going experiments or interruptions in the ability of our customers to complete research projects; &#8226; investment decisions we make with respect to the allocation of our resources, including regarding product development or to support our commercial organization; &#8226; risks related to our business and demand for our products in China and elsewhere in the Asia-Pacific region, including competition or other factors; &#8226; differences in purchasing patterns across our customer base or across our two portfolios and variances in consumables spending for each of our portfolios; &#8226; higher than anticipated warranty costs; &#8226; the timing and amount of expenditures that we may incur to acquire, develop or commercialize additional products and technologies or for other purposes; &#8226; the timing and amount of expenditures (including success fees) related to litigation, as well as the outcomes of and related rulings in the litigation and administrative proceedings which may vary substantially from quarter to quarter; &#8226; the outcome of any current or future litigation or governmental investigations involving us or other third parties; &#8226; our ability and the ability of our partners to successfully manufacture our instruments and consumables in necessary quantities at necessary quality, including due to the impacts of supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; shortages, delays, production problems, distribution and quality issues with the materials we purchase for manufacturing, which could impact our ability to manufacture and ship our instruments, consumables and related components; &#8226; our inability or the inability of our customers to source our products or necessary equipment, components and materials used in our products or in conjunction with our products, including shortages of consumables or other components and materials used in gene sequencing (which occurred in 2024), because of issues with suppliers, including supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; our dependence and the dependence of our customers on single source and sole source suppliers for some of the equipment, components and materials used in our products or in conjunction with our products; &#8226; changes in customer payment timing trends including potential increases in the days sales outstanding (DSO); &#8226; expenses related to our facilities and real estate; &#8226; our ability to successfully integrate personnel, technology and other assets that we acquire into our company; &#8226; difficulties encountered by our commercial carriers in delivering our instruments or consumables, whether as a result of external factors such as weather, customs or import processes, transportation bottlenecks, port lockdowns or slowdowns or fuel shortages or internal issues such as labor disputes or difficulties hiring and retaining adequate staffing; &#8226; reductions in or other difficulties relat",acquire,heuristic_sentence_trigger,4
573,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000013/txg-20241231.htm,Feb-25,14 &#,DSO,ACQUIRED,"These fluctuations may occur due to a variety of factors, many of which are outside of our control, including, but not limited to: &#8226; delays in, changes in terms of, or reduction of governmental funding of life sciences research, generally, or of research projects which could utilize our solutions, specifically, or other changes that impact budgets, budget cycles or seasonal or other spending patterns of our customers, including potential freezes of, reductions in or reduced availability of National Institutes of Health (NIH) or other funding for our customers; &#8226; modifications to our commercial processes and organization, including changes we made to our commercial processes and organization to increase effectiveness; &#8226; the timing and magnitude of our price changes, including the effects of potentially lowering prices for certain of our products in 2025; &#8226; the effects of competition, including competition with both new and existing companies offering products that compete or intend to compete with our products and may offer performance, price or other advantages as well as researchers developing their own solutions; &#8226; enhanced trade tariffs, import restrictions, export restrictions, Chinese regulations or other trade barriers, including retaliatory measures taken by trade partners; &#8226; the effects of inflation on us or our customers, manufacturers and suppliers, including increases in the cost of labor and materials, including as a result of tariffs imposed by the United States which are currently, or in the future, under consideration, proposed or enacted; &#8226; excess capacity expenses and inventory write-downs; &#8226; fluctuations in demand for our products, which may vary significantly, our ability to accurately forecast demand, and our ability to increase penetration with our existing customers and to expand to new customers; &#8226; changes in general market conditions and other factors, including factors unrelated to our operating performance or the performance of our competitors; &#8226; changes in volume and product mix, particularly from products with lower gross margins than other products that we sell, or changes in costs related to our instruments and consumables, including products which incur royalty payment obligations at higher rates than other products we sell; ##TABLE_START ##TABLE_END 14 &#8226; the success of our recently introduced and recently announced products and new versions of existing products, and our ability to generate revenue for such products, and the introduction of new products or product enhancements by us or others in our industry including the timing of such introductions; &#8226; disruptions in customers&#8217; on-going experiments or interruptions in the ability of our customers to complete research projects; &#8226; investment decisions we make with respect to the allocation of our resources, including regarding product development or to support our commercial organization; &#8226; risks related to our business and demand for our products in China and elsewhere in the Asia-Pacific region, including competition or other factors; &#8226; differences in purchasing patterns across our customer base or across our two portfolios and variances in consumables spending for each of our portfolios; &#8226; higher than anticipated warranty costs; &#8226; the timing and amount of expenditures that we may incur to acquire, develop or commercialize additional products and technologies or for other purposes; &#8226; the timing and amount of expenditures (including success fees) related to litigation, as well as the outcomes of and related rulings in the litigation and administrative proceedings which may vary substantially from quarter to quarter; &#8226; the outcome of any current or future litigation or governmental investigations involving us or other third parties; &#8226; our ability and the ability of our partners to successfully manufacture our instruments and consumables in necessary quantities at necessary quality, including due to the impacts of supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; shortages, delays, production problems, distribution and quality issues with the materials we purchase for manufacturing, which could impact our ability to manufacture and ship our instruments, consumables and related components; &#8226; our inability or the inability of our customers to source our products or necessary equipment, components and materials used in our products or in conjunction with our products, including shortages of consumables or other components and materials used in gene sequencing (which occurred in 2024), because of issues with suppliers, including supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; our dependence and the dependence of our customers on single source and sole source suppliers for some of the equipment, components and materials used in our products or in conjunction with our products; &#8226; changes in customer payment timing trends including potential increases in the days sales outstanding (DSO); &#8226; expenses related to our facilities and real estate; &#8226; our ability to successfully integrate personnel, technology and other assets that we acquire into our company; &#8226; difficulties encountered by our commercial carriers in delivering our instruments or consumables, whether as a result of external factors such as weather, customs or import processes, transportation bottlenecks, port lockdowns or slowdowns or fuel shortages or internal issues such as labor disputes or difficulties hiring and retaining adequate staffing; &#8226; reductions in or other difficulties relat",acquire,heuristic_sentence_trigger,4
575,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000162828026007822/txg-20251231.htm,Feb-26,the National Institutes of Health (&,14 &#,ACQUIRED,"academic and government research funding, including funding from the National Institutes of Health (&#8220;NIH&#8221;) or other sources for our customers; &#8226; the effects of competition, including competition with both new and existing companies offering products that compete or intend to compete with our products and may offer performance, price or other advantages as well as researchers developing their own solutions; &#8226; the timing and magnitude of our price changes, including the effects of potentially lower average selling prices for certain products as we expand our portfolio with lower-priced instruments and consumables; &#8226; the success of our recently introduced and recently announced products and new versions of existing products, and our ability to generate revenue for such products, and the introduction of new products or product enhancements by us or others in our industry including the timing of such introductions, and the risk that the introduction of a new or enhanced product cannibalizes sales of our existing products or that we fail to effectively manage the transition from older to newer versions of our products; &#8226; changes in volume and product mix, particularly from products with lower gross margins than other products that we sell, or changes in costs related to our instruments and consumables, including products which incur royalty payment obligations at higher rates than other products we sell; &#8226; the success of our strategy to enter the clinical and diagnostic markets; &#8226; fluctuations in demand for our products, which may vary significantly, our ability to accurately forecast demand, and our ability to increase penetration with our existing customers and to expand to new customers; &#8226; trade tariffs, import restrictions, export restrictions, Chinese regulations or other trade barriers, including retaliatory measures taken by trade partners; &#8226; changes in general market conditions and other factors, including factors unrelated to our operating performance or the performance of our competitors; &#8226; the effects of inflation on us or our customers, manufacturers and suppliers, including increases in the cost of labor and materials, including as a result of tariffs imposed by the United States which are currently, or in the future, under consideration, proposed or enacted; &#8226; modifications to our commercial processes and organization, including changes we made to our commercial processes and organization to increase effectiveness; &#8226; excess capacity expenses and inventory write-downs; &#8226; the timing and amount of expenditures (including success fees) related to litigation, as well as the outcomes of and related rulings in the litigation and administrative proceedings which may vary substantially from quarter to quarter; &#8226; disruptions in customers&#8217; on-going experiments or interruptions in the ability of our customers to complete research projects; ##TABLE_START ##TABLE_END 14 &#8226; investment decisions we make with respect to the allocation of our resources, including regarding product development or to support our commercial organization; &#8226; differences in purchasing patterns across our customer base or across our two portfolios and variances in consumables spending for each of our portfolios; &#8226; the timing and amount of expenditures that we may incur to acquire, develop or commercialize additional products and technologies or for other purposes; &#8226; risks related to our business and demand for our products in China and elsewhere in the Asia-Pacific region, including competition or other factors; &#8226; the outcome of any current or future litigation or governmental investigations involving us or other third parties; &#8226; higher than anticipated warranty costs; &#8226; our ability and the ability of our partners to successfully manufacture our instruments and consumables in necessary quantities at necessary quality, including due to the impacts of supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; shortages, delays, production problems, distribution and quality issues with the materials we purchase for manufacturing, which could impact our ability to manufacture and ship our instruments, consumables and related components; &#8226; our inability or the inability of our customers to source our products or necessary equipment, components and materials used in our products or in conjunction with our products, including shortages of consumables or other components and materials used in gene sequencing (which occurred in 2024), because of issues with suppliers, including supply chain disruptions, logistics, shipping and other distribution disruptions and labor shortages; &#8226; our dependence and the dependence of our customers on single source and sole source suppliers for some of the equipment, components and materials use",acquire,heuristic_sentence_trigger,2
579,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000035/txg-20250512.htm,May-25,NanoString,Company,ACQUIRED,"In May 2024, Bruker acquired certain assets and assumed certain liabilities of NanoString, including the litigation between the Company and NanoString, and the NanoString product lines subject to the lawsuits.",acquired,heuristic_sentence_trigger,2
