candidate_a,candidate_b,normalized_a,normalized_b,similarity_score,review_confidence,reason
IPC,IPCW,IPC,IPCW,0.8571,0.5,high_string_similarity
III,IIIB,III,IIIB,0.8571,0.5,high_string_similarity
Food and Drug Administration,U.S. Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,U S FOOD AND DRUG ADMINISTRATION,0.9333,0.6,very_high_string_similarity_but_not_exact
Food and Drug Administration,the U.S. Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,THE U S FOOD AND DRUG ADMINISTRATION,0.875,0.5,high_string_similarity
Food and Drug Administration,US Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,US FOOD AND DRUG ADMINISTRATION,0.9492,0.6,very_high_string_similarity_but_not_exact
Food and Drug Administration,the US Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,THE US FOOD AND DRUG ADMINISTRATION,0.8889,0.5,high_string_similarity
Food and Drug Administration,the Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,THE FOOD AND DRUG ADMINISTRATION,0.9333,0.6,very_high_string_similarity_but_not_exact
SALT,ALT,SALT,ALT,0.8571,0.5,high_string_similarity
SALT,SAT,SALT,SAT,0.8571,0.5,high_string_similarity
THE SECURITIES EXCHANGE ACT OF,the Securities Exchange Act,THE SECURITIES EXCHANGE ACT OF,THE SECURITIES EXCHANGE ACT,0.9474,0.6,very_high_string_similarity_but_not_exact
THE SECURITIES EXCHANGE ACT OF,the Securities Exchange Act,THE SECURITIES EXCHANGE ACT OF,THE SECURITIES EXCHANGE ACT,0.9474,0.6,very_high_string_similarity_but_not_exact
THE SECURITIES EXCHANGE ACT OF,the Securities Exchange Act,THE SECURITIES EXCHANGE ACT OF,THE SECURITIES EXCHANGE ACT,0.9474,0.6,very_high_string_similarity_but_not_exact
I.R.S. Employer,IRS Employer,I R S EMPLOYER,IRS EMPLOYER,0.9231,0.6,very_high_string_similarity_but_not_exact
PFE New York Stock Exchange,PFE/27 New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,PFE 27 NEW YORK STOCK EXCHANGE,0.9474,0.6,very_high_string_similarity_but_not_exact
PFE New York Stock Exchange,New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,NEW YORK STOCK EXCHANGE,0.92,0.6,very_high_string_similarity_but_not_exact
PFE New York Stock Exchange,JNJ28 New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,JNJ28 NEW YORK STOCK EXCHANGE,0.8571,0.5,high_string_similarity
PFE New York Stock Exchange,JNJ32 New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,JNJ32 NEW YORK STOCK EXCHANGE,0.8571,0.5,high_string_similarity
PFE New York Stock Exchange,JNJ44 New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,JNJ44 NEW YORK STOCK EXCHANGE,0.8571,0.5,high_string_similarity
PFE New York Stock Exchange,JNJ45 New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,JNJ45 NEW YORK STOCK EXCHANGE,0.8571,0.5,high_string_similarity
PFE New York Stock Exchange,MRK New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,MRK NEW YORK STOCK EXCHANGE,0.8889,0.5,high_string_similarity
New York Stock Exchange Indicate,PFE/45 New York Stock Exchange Indicate,NEW YORK STOCK EXCHANGE INDICATE,PFE 45 NEW YORK STOCK EXCHANGE INDICATE,0.9014,0.5,high_string_similarity
New York Stock Exchange Indicate,MRK/54 New York Stock Exchange Indicate,NEW YORK STOCK EXCHANGE INDICATE,MRK 54 NEW YORK STOCK EXCHANGE INDICATE,0.9014,0.5,high_string_similarity
the U.S. Securities and Exchange Commission,the Securities and Exchange Commission,THE U S SECURITIES AND EXCHANGE COMMISSION,THE SECURITIES AND EXCHANGE COMMISSION,0.95,0.6,very_high_string_similarity_but_not_exact
the U.S. Securities and Exchange Commission,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,THE U S SECURITIES AND EXCHANGE COMMISSION,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,0.8667,0.5,high_string_similarity
the U.S. Securities and Exchange Commission,the Securities Exchange Commission,THE U S SECURITIES AND EXCHANGE COMMISSION,THE SECURITIES EXCHANGE COMMISSION,0.8947,0.5,high_string_similarity
the U.S. Securities and Exchange Commission,the United States Securities and Exchange Commission,THE U S SECURITIES AND EXCHANGE COMMISSION,THE UNITED STATES SECURITIES AND EXCHANGE COMMISSION,0.8936,0.5,high_string_similarity
Nominee Votes For Votes Against Abstentions Broker,Names Votes For Votes Against Abstentions Broker Non-Votes,NOMINEE VOTES FOR VOTES AGAINST ABSTENTIONS BROKER,NAMES VOTES FOR VOTES AGAINST ABSTENTIONS BROKER NON VOTES,0.8519,0.5,high_string_similarity
Cover Page Interactive Data File,Cover Page Interactive File,COVER PAGE INTERACTIVE DATA FILE,COVER PAGE INTERACTIVE FILE,0.9153,0.5,high_string_similarity
PFE/27 New York Stock Exchange,New York Stock Exchange,PFE 27 NEW YORK STOCK EXCHANGE,NEW YORK STOCK EXCHANGE,0.8679,0.5,high_string_similarity
PFE/27 New York Stock Exchange,MRK/37 New York Stock Exchange,PFE 27 NEW YORK STOCK EXCHANGE,MRK 37 NEW YORK STOCK EXCHANGE,0.8667,0.5,high_string_similarity
New York Stock Exchange,JNJ28 New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ28 NEW YORK STOCK EXCHANGE,0.8846,0.5,high_string_similarity
New York Stock Exchange,JNJ29B New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ29B NEW YORK STOCK EXCHANGE,0.8679,0.5,high_string_similarity
New York Stock Exchange,JNJ32 New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ32 NEW YORK STOCK EXCHANGE,0.8846,0.5,high_string_similarity
New York Stock Exchange,JNJ36A New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ36A NEW YORK STOCK EXCHANGE,0.8679,0.5,high_string_similarity
New York Stock Exchange,JNJ37B New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ37B NEW YORK STOCK EXCHANGE,0.8679,0.5,high_string_similarity
New York Stock Exchange,JNJ44 New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ44 NEW YORK STOCK EXCHANGE,0.8846,0.5,high_string_similarity
New York Stock Exchange,JNJ45 New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ45 NEW YORK STOCK EXCHANGE,0.8846,0.5,high_string_similarity
New York Stock Exchange,MRK New York Stock Exchange,NEW YORK STOCK EXCHANGE,MRK NEW YORK STOCK EXCHANGE,0.92,0.6,very_high_string_similarity_but_not_exact
New York Stock Exchange,MRK/37 New York Stock Exchange,NEW YORK STOCK EXCHANGE,MRK 37 NEW YORK STOCK EXCHANGE,0.8679,0.5,high_string_similarity
New York Stock Exchange,MRK/44 New York Stock Exchange,NEW YORK STOCK EXCHANGE,MRK 44 NEW YORK STOCK EXCHANGE,0.8679,0.5,high_string_similarity
PFE/45 New York Stock Exchange Indicate,MRK/54 New York Stock Exchange Indicate,PFE 45 NEW YORK STOCK EXCHANGE INDICATE,MRK 54 NEW YORK STOCK EXCHANGE INDICATE,0.8974,0.5,high_string_similarity
IRA,PIRA,IRA,PIRA,0.8571,0.5,high_string_similarity
Pfizer Netherlands International Finance B.V.,the Pfizer Netherlands International Finance B.V.,PFIZER NETHERLANDS INTERNATIONAL FINANCE B V,THE PFIZER NETHERLANDS INTERNATIONAL FINANCE B V,0.9565,0.6,very_high_string_similarity_but_not_exact
the Securities and Exchange Commission,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,THE SECURITIES AND EXCHANGE COMMISSION,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,0.8605,0.5,high_string_similarity
the Securities and Exchange Commission,the Securities Exchange Commission,THE SECURITIES AND EXCHANGE COMMISSION,THE SECURITIES EXCHANGE COMMISSION,0.9444,0.6,very_high_string_similarity_but_not_exact
the Post-Effective Amendment No,Post-Effective Amendment No,THE POST EFFECTIVE AMENDMENT NO,POST EFFECTIVE AMENDMENT NO,0.931,0.6,very_high_string_similarity_but_not_exact
the “First Supplemental Indenture,the “Sixth Supplemental Indenture,THE FIRST SUPPLEMENTAL INDENTURE,THE SIXTH SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “First Supplemental Indenture,the “Sixth Supplemental Indenture,THE FIRST SUPPLEMENTAL INDENTURE,THE SIXTH SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “First Supplemental Indenture,the “Sixth Supplemental Indenture,THE FIRST SUPPLEMENTAL INDENTURE,THE SIXTH SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “First Supplemental Indenture,the “Sixth Supplemental Indenture,THE FIRST SUPPLEMENTAL INDENTURE,THE SIXTH SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “First Supplemental Indenture,the “Sixth Supplemental Indenture,THE FIRST SUPPLEMENTAL INDENTURE,THE SIXTH SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “First Supplemental Indenture,the “Sixth Supplemental Indenture,THE FIRST SUPPLEMENTAL INDENTURE,THE SIXTH SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
