source_id,source_type,source_type_cleaned,source_url,source_url_cleaned,date,date_cleaned,company_seed,company_seed_cleaned,raw_text,raw_text_cleaned,raw_mention,entity_label,start_char,end_char
1,SEC,SEC,https://example.com/sec1,https://example.com/sec1,2023-01,2023-01,Pfizer,Pfizer,Pfizer acquired Seagen in 2023.,Pfizer acquired Seagen in 2023.,Seagen,ORG,16,22
3,USPTO,USPTO,https://example.com/uspto1,https://example.com/uspto1,2022-06,2022-06,Regeneron,Regeneron,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Sanofi,ORG,14,20
4,PUBMED,PUBMED,https://example.com/pubmed1,https://example.com/pubmed1,2021-11,2021-11,CSL Behring,CSL Behring,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring,ORG,0,11
5,SEC,SEC,https://example.com/sec3,https://example.com/sec3,2024-12,2024-12,Bristol Myers Squibb,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb,ORG,0,20
5,SEC,SEC,https://example.com/sec3,https://example.com/sec3,2024-12,2024-12,Bristol Myers Squibb,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Karuna Therapeutics,ORG,31,50
7,SEC,SEC,https://example.com/sec4,https://example.com/sec4,2023-08,2023-08,AstraZeneca,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca,ORG,0,11
7,SEC,SEC,https://example.com/sec4,https://example.com/sec4,2023-08,2023-08,AstraZeneca,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,Daiichi Sankyo,ORG,27,41
8,PUBMED,PUBMED,https://example.com/pubmed2,https://example.com/pubmed2,2022-03,2022-03,Novartis,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis,ORG,0,8
8,PUBMED,PUBMED,https://example.com/pubmed2,https://example.com/pubmed2,2022-03,2022-03,Novartis,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis worked with Alnylam on RNA interference delivery systems.,RNA,ORG,32,35
9,SEC,SEC,https://example.com/sec5,https://example.com/sec5,2024-03,2024-03,10X Genomics,10X Genomics,10X GENOMICS INC acquired a small diagnostics startup.,10X GENOMICS INC acquired a small diagnostics startup.,GENOMICS INC,ORG,4,16
11,SEC,SEC,https://example.com/sec7,https://example.com/sec7,2024-05,2024-05,10X Genomics,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,GENOMICS SWEDEN AB,ORG,4,22
11,SEC,SEC,https://example.com/sec7,https://example.com/sec7,2024-05,2024-05,10X Genomics,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,NanoString,ORG,56,66
12,PUBMED,PUBMED,https://example.com/pubmed3,https://example.com/pubmed3,2022-09,2022-09,CSL Behring,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH,ORG,0,16
12,PUBMED,PUBMED,https://example.com/pubmed3,https://example.com/pubmed3,2022-09,2022-09,CSL Behring,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring Inc.,ORG,54,70
13,SEC,SEC,https://example.com/sec8,https://example.com/sec8,2023-02,2023-02,Pfizer,Pfizer,"Pfizer Inc. acquired Seagen, according to the filing.","Pfizer Inc. acquired Seagen, according to the filing.",Pfizer Inc.,ORG,0,11
15,USPTO,USPTO,https://example.com/uspto3,https://example.com/uspto3,2021-07,2021-07,Regeneron,Regeneron,"Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.","Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.","Regeneron Pharmaceuticals, Inc.",ORG,0,31
17,SEC,SEC,https://example.com/sec10,https://example.com/sec10,2023-10,2023-10,Moderna,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ","Moderna, Inc. entered into a license agreement with Vertex Pharmaceuticals.","Moderna, Inc.",ORG,0,13
17,SEC,SEC,https://example.com/sec10,https://example.com/sec10,2023-10,2023-10,Moderna,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ","Moderna, Inc. entered into a license agreement with Vertex Pharmaceuticals.",Vertex Pharmaceuticals,ORG,52,74
18,SEC,SEC,https://example.com/sec11,https://example.com/sec11,2024-01,2024-01,Gilead Sciences,Gilead Sciences,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.","Gilead Sciences, Inc. acquired CymaBay Therapeutics.","Gilead Sciences, Inc.",ORG,0,21
18,SEC,SEC,https://example.com/sec11,https://example.com/sec11,2024-01,2024-01,Gilead Sciences,Gilead Sciences,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.","Gilead Sciences, Inc. acquired CymaBay Therapeutics.",CymaBay Therapeutics,ORG,31,51
19,USPTO,USPTO,https://example.com/uspto4,https://example.com/uspto4,2021-05,2021-05,argenx,argenx,argenx SE co-filed a patent with Johnson & Johnson.,argenx SE co-filed a patent with Johnson & Johnson.,Johnson & Johnson,ORG,33,50
20,PUBMED,PUBMED,https://example.com/pubmed5,https://example.com/pubmed5,2020-08,2020-08,bluebird bio,bluebird bio,bluebird bio partnered with Bristol-Myers Squibb in early studies.,bluebird bio partnered with Bristol-Myers Squibb in early studies.,Bristol-Myers Squibb,ORG,28,48
21,SEC,SEC,https://example.com/sec12,https://example.com/sec12,2022-04,2022-04,Sarepta Therapeutics,Sarepta Therapeutics,Sarepta Therapeutics merged with Example Rare Disease Co.,Sarepta Therapeutics merged with Example Rare Disease Co.,Sarepta Therapeutics,ORG,0,20
21,SEC,SEC,https://example.com/sec12,https://example.com/sec12,2022-04,2022-04,Sarepta Therapeutics,Sarepta Therapeutics,Sarepta Therapeutics merged with Example Rare Disease Co.,Sarepta Therapeutics merged with Example Rare Disease Co.,Example Rare Disease Co.,ORG,33,57
22,PUBMED,PUBMED,https://example.com/pubmed6,https://example.com/pubmed6,2022-10,2022-10,CRISPR Therapeutics,CRISPR Therapeutics,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,CRISPR Therapeutics,ORG,0,19
22,PUBMED,PUBMED,https://example.com/pubmed6,https://example.com/pubmed6,2022-10,2022-10,CRISPR Therapeutics,CRISPR Therapeutics,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,Vertex Pharmaceuticals,ORG,38,60
33,SEC,SEC,https://example.com/sec13,https://example.com/sec13,2023-01,2023-01,Pfizer,Pfizer,Pfizer acquired Seagen in 2023. The deal expanded Pfizer's oncology portfolio.,Pfizer acquired Seagen in 2023. The deal expanded Pfizer's oncology portfolio.,Seagen,ORG,16,22
