source_id,source_type,source_type_cleaned,source_url,source_url_cleaned,date,date_cleaned,company_seed,company_seed_cleaned,raw_text,raw_text_cleaned,raw_mention,entity_label,start_char,end_char,mention_source,mention_confidence
1,SEC,SEC,https://example.com/sec1,https://example.com/sec1,2023-01,2023-01,Pfizer,Pfizer,Pfizer acquired Seagen in 2023.,Pfizer acquired Seagen in 2023.,Pfizer,ORG,0,6,spacy_or_entityruler,
1,SEC,SEC,https://example.com/sec1,https://example.com/sec1,2023-01,2023-01,Pfizer,Pfizer,Pfizer acquired Seagen in 2023.,Pfizer acquired Seagen in 2023.,Seagen,ORG,16,22,spacy_or_entityruler,
2,SEC,SEC,https://example.com/sec2,https://example.com/sec2,2024-02,2024-02,Merck,Merck,Merck entered into a license agreement with Moderna for mRNA technology.,Merck entered into a license agreement with Moderna for mRNA technology.,Moderna,ORG,44,51,spacy_or_entityruler,
3,USPTO,USPTO,https://example.com/uspto1,https://example.com/uspto1,2022-06,2022-06,Regeneron,Regeneron,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Sanofi,ORG,14,20,spacy_or_entityruler,
4,PUBMED,PUBMED,https://example.com/pubmed1,https://example.com/pubmed1,2021-11,2021-11,CSL Behring,CSL Behring,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring,ORG,0,11,spacy_or_entityruler,
5,SEC,SEC,https://example.com/sec3,https://example.com/sec3,2024-12,2024-12,Bristol Myers Squibb,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb,ORG,0,20,spacy_or_entityruler,
5,SEC,SEC,https://example.com/sec3,https://example.com/sec3,2024-12,2024-12,Bristol Myers Squibb,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Karuna Therapeutics,ORG,31,50,spacy_or_entityruler,
6,USPTO,USPTO,https://example.com/uspto2,https://example.com/uspto2,2020-09,2020-09,AbbVie,AbbVie,AbbVie filed patent with Genmab for a bispecific antibody invention.,AbbVie filed patent with Genmab for a bispecific antibody invention.,AbbVie,ORG,0,6,spacy_or_entityruler,
7,SEC,SEC,https://example.com/sec4,https://example.com/sec4,2023-08,2023-08,AstraZeneca,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca,ORG,0,11,spacy_or_entityruler,
7,SEC,SEC,https://example.com/sec4,https://example.com/sec4,2023-08,2023-08,AstraZeneca,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,Daiichi Sankyo,ORG,27,41,spacy_or_entityruler,
8,PUBMED,PUBMED,https://example.com/pubmed2,https://example.com/pubmed2,2022-03,2022-03,Novartis,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis,ORG,0,8,spacy_or_entityruler,
8,PUBMED,PUBMED,https://example.com/pubmed2,https://example.com/pubmed2,2022-03,2022-03,Novartis,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis worked with Alnylam on RNA interference delivery systems.,RNA,ORG,32,35,spacy_or_entityruler,
