candidate_a,candidate_b,normalized_a,normalized_b,similarity_score,review_confidence,reason
Food and Drug Administration,U.S. Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,U S FOOD AND DRUG ADMINISTRATION,0.9333,0.6,very_high_string_similarity_but_not_exact
PFIZER INC 8-K pfe-20260203 0000078003,PFIZER INC 8-K pfe-20251216 0000078003,PFIZER INC 8 K PFE 20260203 0000078003,PFIZER INC 8 K PFE 20251216 0000078003,0.8947,0.5,high_string_similarity
PFIZER INC 8-K pfe-20260203 0000078003,PFIZER INC 8-K pfe-20251113 0000078003,PFIZER INC 8 K PFE 20260203 0000078003,PFIZER INC 8 K PFE 20251113 0000078003,0.8947,0.5,high_string_similarity
PFIZER INC 8-K pfe-20260203 0000078003,PFIZER INC 8-K pfe-20250805 0000078003,PFIZER INC 8 K PFE 20260203 0000078003,PFIZER INC 8 K PFE 20250805 0000078003,0.9211,0.6,very_high_string_similarity_but_not_exact
PFIZER INC 8-K pfe-20260203 0000078003,PFIZER INC 8-K pfe-20250429 0000078003,PFIZER INC 8 K PFE 20260203 0000078003,PFIZER INC 8 K PFE 20250429 0000078003,0.9211,0.6,very_high_string_similarity_but_not_exact
PFIZER INC 8-K pfe-20260203 0000078003,PFIZER INC 8-K pfe-20250424 0000078003,PFIZER INC 8 K PFE 20260203 0000078003,PFIZER INC 8 K PFE 20250424 0000078003,0.9211,0.6,very_high_string_similarity_but_not_exact
THE SECURITIES EXCHANGE ACT OF,the Securities Exchange Act,THE SECURITIES EXCHANGE ACT OF,THE SECURITIES EXCHANGE ACT,0.9474,0.6,very_high_string_similarity_but_not_exact
PFE New York Stock Exchange,PFE/27 New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,PFE 27 NEW YORK STOCK EXCHANGE,0.9474,0.6,very_high_string_similarity_but_not_exact
PFE New York Stock Exchange,New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,NEW YORK STOCK EXCHANGE,0.92,0.6,very_high_string_similarity_but_not_exact
PFE/27 New York Stock Exchange,New York Stock Exchange,PFE 27 NEW YORK STOCK EXCHANGE,NEW YORK STOCK EXCHANGE,0.8679,0.5,high_string_similarity
PFE/45 New York Stock Exchange Indicate,New York Stock Exchange Indicate,PFE 45 NEW YORK STOCK EXCHANGE INDICATE,NEW YORK STOCK EXCHANGE INDICATE,0.9014,0.5,high_string_similarity
PFIZER INC 8-K pfe-20251216 0000078003,PFIZER INC 8-K pfe-20251113 0000078003,PFIZER INC 8 K PFE 20251216 0000078003,PFIZER INC 8 K PFE 20251113 0000078003,0.9474,0.6,very_high_string_similarity_but_not_exact
PFIZER INC 8-K pfe-20251216 0000078003,PFIZER INC 8-K pfe-20250805 0000078003,PFIZER INC 8 K PFE 20251216 0000078003,PFIZER INC 8 K PFE 20250805 0000078003,0.8947,0.5,high_string_similarity
PFIZER INC 8-K pfe-20251216 0000078003,PFIZER INC 8-K pfe-20250429 0000078003,PFIZER INC 8 K PFE 20251216 0000078003,PFIZER INC 8 K PFE 20250429 0000078003,0.9211,0.6,very_high_string_similarity_but_not_exact
PFIZER INC 8-K pfe-20251216 0000078003,PFIZER INC 8-K pfe-20250424 0000078003,PFIZER INC 8 K PFE 20251216 0000078003,PFIZER INC 8 K PFE 20250424 0000078003,0.9211,0.6,very_high_string_similarity_but_not_exact
the Securities and Exchange Commission,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,THE SECURITIES AND EXCHANGE COMMISSION,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,0.8605,0.5,high_string_similarity
the Securities and Exchange Commission,the U.S. Securities and Exchange Commission,THE SECURITIES AND EXCHANGE COMMISSION,THE U S SECURITIES AND EXCHANGE COMMISSION,0.95,0.6,very_high_string_similarity_but_not_exact
the “Sixth Supplemental Indenture,the “First Supplemental Indenture,THE SIXTH SUPPLEMENTAL INDENTURE,THE FIRST SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “Sixth Supplemental Indenture,the “First Supplemental Indenture,THE SIXTH SUPPLEMENTAL INDENTURE,THE FIRST SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “Sixth Supplemental Indenture,the “First Supplemental Indenture,THE SIXTH SUPPLEMENTAL INDENTURE,THE FIRST SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “Sixth Supplemental Indenture,the “First Supplemental Indenture,THE SIXTH SUPPLEMENTAL INDENTURE,THE FIRST SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “Sixth Supplemental Indenture,the “First Supplemental Indenture,THE SIXTH SUPPLEMENTAL INDENTURE,THE FIRST SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
the “Sixth Supplemental Indenture,the “First Supplemental Indenture,THE SIXTH SUPPLEMENTAL INDENTURE,THE FIRST SUPPLEMENTAL INDENTURE,0.9062,0.5,high_string_similarity
PFIZER INC 8-K pfe-20251113 0000078003,PFIZER INC 8-K pfe-20250805 0000078003,PFIZER INC 8 K PFE 20251113 0000078003,PFIZER INC 8 K PFE 20250805 0000078003,0.8947,0.5,high_string_similarity
