candidate_a,candidate_b,normalized_a,normalized_b,similarity_score,review_confidence,reason
Food and Drug Administration,U.S. Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,U S FOOD AND DRUG ADMINISTRATION,0.9333,0.66,high_string_similarity_review
Food and Drug Administration,the U.S. Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,THE U S FOOD AND DRUG ADMINISTRATION,0.875,0.58,shared_long_base_review
Food and Drug Administration,US Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,US FOOD AND DRUG ADMINISTRATION,0.9492,0.66,high_string_similarity_review
Food and Drug Administration,the US Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,THE US FOOD AND DRUG ADMINISTRATION,0.8889,0.58,shared_long_base_review
Food and Drug Administration,the Food and Drug Administration,FOOD AND DRUG ADMINISTRATION,THE FOOD AND DRUG ADMINISTRATION,0.9333,0.66,high_string_similarity_review
THE SECURITIES EXCHANGE ACT OF,the Securities Exchange Act,THE SECURITIES EXCHANGE ACT OF,THE SECURITIES EXCHANGE ACT,0.9474,0.66,high_string_similarity_review
THE SECURITIES EXCHANGE ACT OF,the Securities Exchange Act,THE SECURITIES EXCHANGE ACT OF,THE SECURITIES EXCHANGE ACT,0.9474,0.66,high_string_similarity_review
THE SECURITIES EXCHANGE ACT OF,the Securities Exchange Act,THE SECURITIES EXCHANGE ACT OF,THE SECURITIES EXCHANGE ACT,0.9474,0.66,high_string_similarity_review
I.R.S. Employer,IRS Employer,I R S EMPLOYER,IRS EMPLOYER,0.9231,0.66,high_string_similarity_review
PFE New York Stock Exchange,PFE/27 New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,PFE 27 NEW YORK STOCK EXCHANGE,0.9474,0.66,high_string_similarity_review
PFE New York Stock Exchange,New York Stock Exchange,PFE NEW YORK STOCK EXCHANGE,NEW YORK STOCK EXCHANGE,0.92,0.66,high_string_similarity_review
New York Stock Exchange Indicate,PFE/45 New York Stock Exchange Indicate,NEW YORK STOCK EXCHANGE INDICATE,PFE 45 NEW YORK STOCK EXCHANGE INDICATE,0.9014,0.58,shared_long_base_review
New York Stock Exchange Indicate,MRK/54 New York Stock Exchange Indicate,NEW YORK STOCK EXCHANGE INDICATE,MRK 54 NEW YORK STOCK EXCHANGE INDICATE,0.9014,0.58,shared_long_base_review
the U.S. Securities and Exchange Commission,the Securities and Exchange Commission,THE U S SECURITIES AND EXCHANGE COMMISSION,THE SECURITIES AND EXCHANGE COMMISSION,0.95,0.66,high_string_similarity_review
Cover Page Interactive Data File,Cover Page Interactive File,COVER PAGE INTERACTIVE DATA FILE,COVER PAGE INTERACTIVE FILE,0.9153,0.66,high_string_similarity_review
PFE/27 New York Stock Exchange,New York Stock Exchange,PFE 27 NEW YORK STOCK EXCHANGE,NEW YORK STOCK EXCHANGE,0.8679,0.58,shared_long_base_review
New York Stock Exchange,JNJ28 New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ28 NEW YORK STOCK EXCHANGE,0.8846,0.58,shared_long_base_review
New York Stock Exchange,JNJ29B New York Stock Exchange,NEW YORK STOCK EXCHANGE,JNJ29B NEW YORK STOCK EXCHANGE,0.8679,0.58,shared_long_base_review
