source_id,source_type,source_url,date,entity_a,entity_b,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence
620,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,Moderna,Merck Sharp & Dohme,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_v2,3
620,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,Moderna,Merck & Co.,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_v2,3
620,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,Merck Sharp & Dohme,Merck & Co.,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_v2,3
657,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39938094/,Feb-25,JOHNSON & JOHNSON,Legend Biotech USA,FUNDED_WITH,"(Funded by Johnson & Johnson and Legend Biotech USA; CARTITUDE-4 ClinicalTrials.gov number, NCT04181827.).","funded by johnson & johnson and legend biotech usa; cartitude-4 clinicaltrials.gov number, nct04181827",source_aware_sentence_trigger_v2,2
683,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38631003/,Apr-24,Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck; KEYNOTE-564 ClinicalTrials.gov number, NCT03142334.).","funded by merck sharp and dohme, a subsidiary of merck; keynote-564 clinicaltrials.gov number, nct03142334",source_aware_sentence_trigger_v2,2
684,PUBMED,https://pubmed.ncbi.nlm.nih.gov/34407342/,Aug-21,Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck; KEYNOTE-564 ClinicalTrials.gov number, NCT03142334.).","funded by merck sharp and dohme, a subsidiary of merck; keynote-564 clinicaltrials.gov number, nct03142334",source_aware_sentence_trigger_v2,2
685,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39167807/,Aug-24,Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck; LITESPARK-005 ClinicalTrials.gov number, NCT04195750.).","funded by merck sharp and dohme, a subsidiary of merck; litespark-005 clinicaltrials.gov number, nct04195750",source_aware_sentence_trigger_v2,2
688,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35045221/,Feb-22,Funded by Eisai,Dohme,FUNDED_WITH,"(Funded by Eisai and Merck Sharp and Dohme [a subsidiary of Merck]; Study 309-KEYNOTE-775 ClinicalTrials.gov number, NCT03517449.).","funded by eisai and merck sharp and dohme [a subsidiary of merck]; study 309-keynote-775 clinicaltrials.gov number, nct03517449",source_aware_sentence_trigger_v2,3
688,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35045221/,Feb-22,Funded by Eisai,Merck,FUNDED_WITH,"(Funded by Eisai and Merck Sharp and Dohme [a subsidiary of Merck]; Study 309-KEYNOTE-775 ClinicalTrials.gov number, NCT03517449.).","funded by eisai and merck sharp and dohme [a subsidiary of merck]; study 309-keynote-775 clinicaltrials.gov number, nct03517449",source_aware_sentence_trigger_v2,3
688,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35045221/,Feb-22,Dohme,Merck,FUNDED_WITH,"(Funded by Eisai and Merck Sharp and Dohme [a subsidiary of Merck]; Study 309-KEYNOTE-775 ClinicalTrials.gov number, NCT03517449.).","funded by eisai and merck sharp and dohme [a subsidiary of merck]; study 309-keynote-775 clinicaltrials.gov number, nct03517449",source_aware_sentence_trigger_v2,3
689,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35139274/,Feb-22,Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck; KEYNOTE-522 ClinicalTrials.gov number, NCT03036488.).","funded by merck sharp and dohme, a subsidiary of merck; keynote-522 clinicaltrials.gov number, nct03036488",source_aware_sentence_trigger_v2,3
689,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35139274/,Feb-22,Dohme,NCT03036488,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck; KEYNOTE-522 ClinicalTrials.gov number, NCT03036488.).","funded by merck sharp and dohme, a subsidiary of merck; keynote-522 clinicaltrials.gov number, nct03036488",source_aware_sentence_trigger_v2,3
689,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35139274/,Feb-22,Merck,NCT03036488,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck; KEYNOTE-522 ClinicalTrials.gov number, NCT03036488.).","funded by merck sharp and dohme, a subsidiary of merck; keynote-522 clinicaltrials.gov number, nct03036488",source_aware_sentence_trigger_v2,3
690,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,Moderna,Merck Sharp & Dohme,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_v2,3
690,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,Moderna,Merck & Co.,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_v2,3
690,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,Merck Sharp & Dohme,Merck & Co.,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_v2,3
692,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40532178/,Jul-25,Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck [Rahway, NJ]; KEYNOTE-689 ClinicalTrials.gov number, NCT03765918.).","funded by merck sharp and dohme, a subsidiary of merck [rahway, nj]; keynote-689 clinicaltrials.gov number, nct03765918",source_aware_sentence_trigger_v2,2
694,PUBMED,https://pubmed.ncbi.nlm.nih.gov/32222134/,May-20,Merck Sharp & Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp & Dohme [a subsidiary of Merck] and Bayer; VICTORIA ClinicalTrials.gov number, NCT02861534.).","funded by merck sharp & dohme [a subsidiary of merck] and bayer; victoria clinicaltrials.gov number, nct02861534",source_aware_sentence_trigger_v2,3
694,PUBMED,https://pubmed.ncbi.nlm.nih.gov/32222134/,May-20,Merck Sharp & Dohme,Bayer,FUNDED_WITH,"(Funded by Merck Sharp & Dohme [a subsidiary of Merck] and Bayer; VICTORIA ClinicalTrials.gov number, NCT02861534.).","funded by merck sharp & dohme [a subsidiary of merck] and bayer; victoria clinicaltrials.gov number, nct02861534",source_aware_sentence_trigger_v2,3
694,PUBMED,https://pubmed.ncbi.nlm.nih.gov/32222134/,May-20,Merck,Bayer,FUNDED_WITH,"(Funded by Merck Sharp & Dohme [a subsidiary of Merck] and Bayer; VICTORIA ClinicalTrials.gov number, NCT02861534.).","funded by merck sharp & dohme [a subsidiary of merck] and bayer; victoria clinicaltrials.gov number, nct02861534",source_aware_sentence_trigger_v2,3
695,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40167274/,May-25,Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck [Rahway, NJ]; ZENITH ClinicalTrials.gov number, NCT04896008.).","funded by merck sharp and dohme, a subsidiary of merck [rahway, nj]; zenith clinicaltrials.gov number, nct04896008",source_aware_sentence_trigger_v2,3
695,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40167274/,May-25,Dohme,NCT04896008,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck [Rahway, NJ]; ZENITH ClinicalTrials.gov number, NCT04896008.).","funded by merck sharp and dohme, a subsidiary of merck [rahway, nj]; zenith clinicaltrials.gov number, nct04896008",source_aware_sentence_trigger_v2,3
695,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40167274/,May-25,Merck,NCT04896008,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck [Rahway, NJ]; ZENITH ClinicalTrials.gov number, NCT04896008.).","funded by merck sharp and dohme, a subsidiary of merck [rahway, nj]; zenith clinicaltrials.gov number, nct04896008",source_aware_sentence_trigger_v2,3
696,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39282906/,Nov-24,Dohme,Merck,FUNDED_WITH,"(Funded by Merck Sharp and Dohme, a subsidiary of Merck [Rahway, NJ]; KEYNOTE-522 ClinicalTrials.gov number, NCT03036488.).","funded by merck sharp and dohme, a subsidiary of merck [rahway, nj]; keynote-522 clinicaltrials.gov number, nct03036488",source_aware_sentence_trigger_v2,3
