source_id,source_type,source_url,date,company_seed,raw_text,raw_mention,entity_label,start_char,end_char,normalized_name,base_name,legal_suffixes,canonical_group_id,canonical_name,merge_confidence,merge_decision,evidence_note
1,SEC,https://example.com/sec1,2023-01,Pfizer,Pfizer acquired Seagen in 2023.,Seagen,ORG,16,22,SEAGEN,SEAGEN,,42,Seagen,1.0,singleton,singleton_no_merge_needed
3,USPTO,https://example.com/uspto1,2022-06,Regeneron,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,Sanofi,ORG,14,20,SANOFI,SANOFI,,21,Sanofi,1.0,singleton,singleton_no_merge_needed
4,PUBMED,https://example.com/pubmed1,2021-11,CSL Behring,CSL Behring collaborated with Takeda on plasma-derived therapy research.,CSL Behring,ORG,0,11,CSL BEHRING,CSL BEHRING,,11,CSL Behring,0.88,auto_merge,auto_merge_component
5,SEC,https://example.com/sec3,2024-12,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Bristol Myers Squibb,ORG,0,20,BRISTOL MYERS SQUIBB,BRISTOL MYERS SQUIBB,,9,Bristol-Myers Squibb,1.0,singleton,singleton_no_merge_needed
5,SEC,https://example.com/sec3,2024-12,Bristol Myers Squibb,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,Karuna Therapeutics,ORG,31,50,KARUNA THERAPEUTICS,KARUNA THERAPEUTICS,,40,Karuna Therapeutics,1.0,singleton,singleton_no_merge_needed
7,SEC,https://example.com/sec4,2023-08,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,AstraZeneca,ORG,0,11,ASTRAZENECA,ASTRAZENECA,,37,AstraZeneca,1.0,singleton,singleton_no_merge_needed
7,SEC,https://example.com/sec4,2023-08,AstraZeneca,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,Daiichi Sankyo,ORG,27,41,DAIICHI SANKYO,DAIICHI SANKYO,,31,Daiichi Sankyo,1.0,singleton,singleton_no_merge_needed
8,PUBMED,https://example.com/pubmed2,2022-03,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,Novartis,ORG,0,8,NOVARTIS,NOVARTIS,,39,Novartis,1.0,singleton,singleton_no_merge_needed
8,PUBMED,https://example.com/pubmed2,2022-03,Novartis,Novartis worked with Alnylam on RNA interference delivery systems.,RNA,ORG,32,35,RNA,RNA,,13,RNA,1.0,singleton,singleton_no_merge_needed
9,SEC,https://example.com/sec5,2024-03,10X Genomics,10X GENOMICS INC acquired a small diagnostics startup.,GENOMICS INC,ORG,4,16,GENOMICS INC,GENOMICS,INC,44,GENOMICS INC,1.0,singleton,singleton_no_merge_needed
11,SEC,https://example.com/sec7,2024-05,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,GENOMICS SWEDEN AB,ORG,4,22,GENOMICS SWEDEN AB,GENOMICS SWEDEN,AB,24,Genomics Sweden AB,1.0,singleton,singleton_no_merge_needed
11,SEC,https://example.com/sec7,2024-05,10X Genomics,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,NanoString,ORG,56,66,NANOSTRING,NANOSTRING,,26,NanoString,1.0,singleton,singleton_no_merge_needed
12,PUBMED,https://example.com/pubmed3,2022-09,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring GmbH,ORG,0,16,CSL BEHRING GMBH,CSL BEHRING,GMBH,16,CSL Behring GmbH,0.55,review_needed,same_base_name_but_suffix_differs
12,PUBMED,https://example.com/pubmed3,2022-09,CSL Behring,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,CSL Behring Inc.,ORG,54,70,CSL BEHRING INC,CSL BEHRING,INC,11,CSL Behring,0.88,auto_merge,auto_merge_component
13,SEC,https://example.com/sec8,2023-02,Pfizer,"Pfizer Inc. acquired Seagen, according to the filing.",Pfizer Inc.,ORG,0,11,PFIZER INC,PFIZER,INC,25,Pfizer Inc.,1.0,singleton,singleton_no_merge_needed
15,USPTO,https://example.com/uspto3,2021-07,Regeneron,"Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.","Regeneron Pharmaceuticals, Inc.",ORG,0,31,REGENERON PHARMACEUTICALS INC,REGENERON PHARMACEUTICALS,INC,14,"Regeneron Pharmaceuticals, Inc.",0.88,auto_merge,auto_merge_component
17,SEC,https://example.com/sec10,2023-10,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ","Moderna, Inc.",ORG,0,13,MODERNA INC,MODERNA,INC,1,"Moderna, Inc.",1.0,singleton,singleton_no_merge_needed
17,SEC,https://example.com/sec10,2023-10,Moderna,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ",Vertex Pharmaceuticals,ORG,52,74,VERTEX PHARMACEUTICALS,VERTEX PHARMACEUTICALS,,10,Vertex Pharmaceuticals,1.0,singleton,singleton_no_merge_needed
18,SEC,https://example.com/sec11,2024-01,Gilead Sciences,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.","Gilead Sciences, Inc.",ORG,0,21,GILEAD SCIENCES INC,GILEAD SCIENCES,INC,43,"Gilead Sciences, Inc.",1.0,singleton,singleton_no_merge_needed
