source_id,source_type,raw_text,source_url,date,company_seed,source_type_cleaned,raw_text_cleaned,source_url_cleaned,date_cleaned,company_seed_cleaned,company_seed_invalid,company_seed_invalid_reason,row_invalid_reasons,row_valid_for_ner
1,SEC,Pfizer acquired Seagen in 2023.,https://example.com/sec1,2023-01,Pfizer,SEC,Pfizer acquired Seagen in 2023.,https://example.com/sec1,2023-01,Pfizer,False,,,True
2,SEC,Merck entered into a license agreement with Moderna for mRNA technology.,https://example.com/sec2,2024-02,Merck,SEC,Merck entered into a license agreement with Moderna for mRNA technology.,https://example.com/sec2,2024-02,Merck,False,,,True
3,USPTO,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,https://example.com/uspto1,2022-06,Regeneron,USPTO,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,https://example.com/uspto1,2022-06,Regeneron,False,,,True
4,PUBMED,CSL Behring collaborated with Takeda on plasma-derived therapy research.,https://example.com/pubmed1,2021-11,CSL Behring,PUBMED,CSL Behring collaborated with Takeda on plasma-derived therapy research.,https://example.com/pubmed1,2021-11,CSL Behring,False,,,True
5,SEC,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,https://example.com/sec3,2024-12,Bristol Myers Squibb,SEC,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,https://example.com/sec3,2024-12,Bristol Myers Squibb,False,,,True
6,USPTO,AbbVie filed patent with Genmab for a bispecific antibody invention.,https://example.com/uspto2,2020-09,AbbVie,USPTO,AbbVie filed patent with Genmab for a bispecific antibody invention.,https://example.com/uspto2,2020-09,AbbVie,False,,,True
7,SEC,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,https://example.com/sec4,2023-08,AstraZeneca,SEC,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,https://example.com/sec4,2023-08,AstraZeneca,False,,,True
8,PUBMED,Novartis worked with Alnylam on RNA interference delivery systems.,https://example.com/pubmed2,2022-03,Novartis,PUBMED,Novartis worked with Alnylam on RNA interference delivery systems.,https://example.com/pubmed2,2022-03,Novartis,False,,,True
9,SEC,10X GENOMICS INC acquired a small diagnostics startup.,https://example.com/sec5,2024-03,10X Genomics,SEC,10X GENOMICS INC acquired a small diagnostics startup.,https://example.com/sec5,2024-03,10X Genomics,False,,,True
10,SEC,10X GENOMICS BV entered into a collaboration with BioNTech.,https://example.com/sec6,2024-04,10X Genomics,SEC,10X GENOMICS BV entered into a collaboration with BioNTech.,https://example.com/sec6,2024-04,10X Genomics,False,,,True
11,SEC,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,https://example.com/sec7,2024-05,10X Genomics,SEC,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,https://example.com/sec7,2024-05,10X Genomics,False,,,True
12,PUBMED,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,https://example.com/pubmed3,2022-09,CSL Behring,PUBMED,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,https://example.com/pubmed3,2022-09,CSL Behring,False,,,True
13,SEC,"Pfizer Inc. acquired Seagen, according to the filing.",https://example.com/sec8,2023-02,Pfizer,SEC,"Pfizer Inc. acquired Seagen, according to the filing.",https://example.com/sec8,2023-02,Pfizer,False,,,True
14,SEC,PFIZER acquired SEAGEN in a merger transaction.,https://example.com/sec9,2023-03,Pfizer,SEC,PFIZER acquired SEAGEN in a merger transaction.,https://example.com/sec9,2023-03,Pfizer,False,,,True
15,USPTO,"Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.",https://example.com/uspto3,2021-07,Regeneron,USPTO,"Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.",https://example.com/uspto3,2021-07,Regeneron,False,,,True
16,PUBMED,BMS collaborated with 2seventy bio on cell therapy programs.,https://example.com/pubmed4,2023-06,Bristol Myers Squibb,PUBMED,BMS collaborated with 2seventy bio on cell therapy programs.,https://example.com/pubmed4,2023-06,Bristol Myers Squibb,False,,,True
17,SEC,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ",https://example.com/sec10,2023-10,Moderna,SEC,"Moderna, Inc. entered into a license agreement with Vertex Pharmaceuticals.",https://example.com/sec10,2023-10,Moderna,False,,,True
18,SEC,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.",https://example.com/sec11,2024-01,Gilead Sciences,SEC,"Gilead Sciences, Inc. acquired CymaBay Therapeutics.",https://example.com/sec11,2024-01,Gilead Sciences,False,,,True
19,USPTO,argenx SE co-filed a patent with Johnson & Johnson.,https://example.com/uspto4,2021-05,argenx,USPTO,argenx SE co-filed a patent with Johnson & Johnson.,https://example.com/uspto4,2021-05,argenx,False,,,True
20,PUBMED,bluebird bio partnered with Bristol-Myers Squibb in early studies.,https://example.com/pubmed5,2020-08,bluebird bio,PUBMED,bluebird bio partnered with Bristol-Myers Squibb in early studies.,https://example.com/pubmed5,2020-08,bluebird bio,False,,,True
21,SEC,Sarepta Therapeutics merged with Example Rare Disease Co.,https://example.com/sec12,2022-04,Sarepta Therapeutics,SEC,Sarepta Therapeutics merged with Example Rare Disease Co.,https://example.com/sec12,2022-04,Sarepta Therapeutics,False,,,True
