source_id,source_type,source_url,date,entity_a,entity_b,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence
1,SEC,https://example.com/sec1,2023-01,Pfizer,Seagen,ACQUIRED,Pfizer acquired Seagen in 2023.,acquired,heuristic_sentence_trigger,2
5,SEC,https://example.com/sec3,2024-12,Bristol-Myers Squibb,Karuna Therapeutics,ACQUIRED,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,purchased,heuristic_sentence_trigger,2
7,SEC,https://example.com/sec4,2023-08,AstraZeneca,Daiichi Sankyo,COLLABORATED_WITH,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,partnered with,heuristic_sentence_trigger,2
8,PUBMED,https://example.com/pubmed2,2022-03,Novartis,RNA,COLLABORATED_WITH,Novartis worked with Alnylam on RNA interference delivery systems.,worked with,heuristic_sentence_trigger,2
11,SEC,https://example.com/sec7,2024-05,10X GENOMICS,SWEDEN AB,LICENSED_FROM,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,licensed,heuristic_sentence_trigger,3
11,SEC,https://example.com/sec7,2024-05,10X GENOMICS,NanoString,LICENSED_FROM,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,licensed,heuristic_sentence_trigger,3
11,SEC,https://example.com/sec7,2024-05,SWEDEN AB,NanoString,LICENSED_FROM,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,licensed,heuristic_sentence_trigger,3
19,USPTO,https://example.com/uspto4,2021-05,argenx SE,Johnson & Johnson,FILED_PATENT_WITH,argenx SE co-filed a patent with Johnson & Johnson.,co-filed,heuristic_sentence_trigger,2
21,SEC,https://example.com/sec12,2022-04,Sarepta Therapeutics,Example Rare Disease Co.,ACQUIRED,Sarepta Therapeutics merged with Example Rare Disease Co.,merged with,heuristic_sentence_trigger,2
22,PUBMED,https://example.com/pubmed6,2022-10,CRISPR Therapeutics,Vertex Pharmaceuticals,COLLABORATED_WITH,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,collaborated with,heuristic_sentence_trigger,2
33,SEC,https://example.com/sec13,2023-01,Pfizer,Seagen,ACQUIRED,Pfizer acquired Seagen in 2023.,acquired,heuristic_sentence_trigger,2
34,SEC,https://example.com/sec14,2024-02,Merck,Moderna,LICENSED_FROM,Merck licensed technology from Moderna.,licensed,heuristic_sentence_trigger,2
39,PUBMED,https://example.com/pubmed8,2022-01,J&J,Johnson Innovative Medicine,COLLABORATED_WITH,J&J worked with Johnson and Johnson Innovative Medicine on an antibody study.,worked with,heuristic_sentence_trigger,2
42,SEC,https://example.com/sec18,2024-01,Roche,Recursion Pharmaceuticals,COLLABORATED_WITH,Roche entered into a collaboration with Recursion Pharmaceuticals.,collaboration with,heuristic_sentence_trigger,2
45,SEC,https://example.com/sec19,2023-11,Biogen,Stoke Therapeutics,LICENSED_FROM,Biogen licensed a neurodegeneration program from Stoke Therapeutics.,licensed,heuristic_sentence_trigger,2
46,PUBMED,https://example.com/pubmed10,2022-05,GSK,CureVac,COLLABORATED_WITH,GSK partnered with CureVac on next-generation mRNA vaccines.,partnered with,heuristic_sentence_trigger,2
47,SEC,https://example.com/sec20,2024-06,Johnson & Johnson,Shockwave Medical,ACQUIRED,Johnson & Johnson acquired Shockwave Medical.,acquired,heuristic_sentence_trigger,2
56,SEC,https://example.com/sec23,2024-04,Pfizer,Beam Therapeutics,LICENSED_FROM,Pfizer licensed technology from Beam Therapeutics,licensed,heuristic_sentence_trigger,2
57,PUBMED,https://example.com/pubmed13,2022-06,FDA,Pfizer,COLLABORATED_WITH,FDA collaborated with Pfizer on regulatory science workshops.,collaborated with,heuristic_sentence_trigger,2
58,SEC,https://example.com/sec24,2020-09,University of Pennsylvania,Spark Therapeutics,LICENSED_FROM,University of Pennsylvania licensed technology to Spark Therapeutics.,licensed,heuristic_sentence_trigger,2
59,SEC,not_a_url,2024-05,Alnylam,Example RNA Startup,ACQUIRED,Alnylam acquired Example RNA Startup.,acquired,heuristic_sentence_trigger,2
60,PUBMED,https://example.com/pubmed14,,Example Biotech,Example Diagnostics,COLLABORATED_WITH,Example Biotech worked with Example Diagnostics.,worked with,heuristic_sentence_trigger,2
