source_id,source_type,raw_text,source_url,date,company_seed
1,SEC,Pfizer acquired Seagen in 2023.,https://example.com/sec1,2023-01,Pfizer
2,SEC,Merck entered into a license agreement with Moderna for mRNA technology.,https://example.com/sec2,2024-02,Merck
3,USPTO,Regeneron and Sanofi jointly developed an antibody platform and co-filed a patent.,https://example.com/uspto1,2022-06,Regeneron
4,PUBMED,CSL Behring collaborated with Takeda on plasma-derived therapy research.,https://example.com/pubmed1,2021-11,CSL Behring
5,SEC,Bristol Myers Squibb purchased Karuna Therapeutics in a strategic acquisition.,https://example.com/sec3,2024-12,Bristol Myers Squibb
6,USPTO,AbbVie filed patent with Genmab for a bispecific antibody invention.,https://example.com/uspto2,2020-09,AbbVie
7,SEC,AstraZeneca partnered with Daiichi Sankyo to co-develop oncology therapies.,https://example.com/sec4,2023-08,AstraZeneca
8,PUBMED,Novartis worked with Alnylam on RNA interference delivery systems.,https://example.com/pubmed2,2022-03,Novartis
9,SEC,10X GENOMICS INC acquired a small diagnostics startup.,https://example.com/sec5,2024-03,10X Genomics
10,SEC,10X GENOMICS BV entered into a collaboration with BioNTech.,https://example.com/sec6,2024-04,10X Genomics
11,SEC,10X GENOMICS SWEDEN AB licensed imaging technology from NanoString.,https://example.com/sec7,2024-05,10X Genomics
12,PUBMED,CSL Behring GmbH developed a plasma therapy alongside CSL Behring Inc.,https://example.com/pubmed3,2022-09,CSL Behring
13,SEC,"Pfizer Inc. acquired Seagen, according to the filing.",https://example.com/sec8,2023-02,Pfizer
14,SEC,PFIZER acquired SEAGEN in a merger transaction.,https://example.com/sec9,2023-03,Pfizer
15,USPTO,"Regeneron Pharmaceuticals, Inc. and Sanofi co-assigned a patent family.",https://example.com/uspto3,2021-07,Regeneron
16,PUBMED,BMS collaborated with 2seventy bio on cell therapy programs.,https://example.com/pubmed4,2023-06,Bristol Myers Squibb
17,SEC,"  Moderna, Inc.   entered into a license agreement with Vertex Pharmaceuticals.  ",https://example.com/sec10,2023-10,Moderna
18,SEC,"Gilead Sciences, Inc. acquired   CymaBay Therapeutics.",https://example.com/sec11,2024-01,Gilead Sciences
19,USPTO,argenx SE co-filed a patent with Johnson & Johnson.,https://example.com/uspto4,2021-05,argenx
20,PUBMED,bluebird bio partnered with Bristol-Myers Squibb in early studies.,https://example.com/pubmed5,2020-08,bluebird bio
21,SEC,Sarepta Therapeutics merged with Example Rare Disease Co.,https://example.com/sec12,2022-04,Sarepta Therapeutics
22,PUBMED,CRISPR Therapeutics collaborated with Vertex Pharmaceuticals on gene editing.,https://example.com/pubmed6,2022-10,CRISPR Therapeutics
23,SEC,#NAME? filed a report.,https://example.com/bad1,2021-07,#NAME?
24,USPTO,11-JUL appears in the assignee field.,https://example.com/bad2,2020-05,11-JUL
25,SEC,,https://example.com/bad3,2022-02,Unknown
26,PUBMED,   ,https://example.com/bad4,2023-01,BlankCo
